"prefecture","pref_id","id","category","type","winner_party","winner_name","winner_age","popup_text","winner_party_s","district"
"北海道","01","01","prefecture",NA,NA,NA,NA,NA,NA,NA
"青森","02","02","prefecture",NA,NA,NA,NA,NA,NA,NA
"岩手","03","03","prefecture",NA,NA,NA,NA,NA,NA,NA
"宮城","04","04","prefecture",NA,NA,NA,NA,NA,NA,NA
"秋田","05","05","prefecture",NA,NA,NA,NA,NA,NA,NA
"山形","06","06","prefecture",NA,NA,NA,NA,NA,NA,NA
"福島","07","07","prefecture",NA,NA,NA,NA,NA,NA,NA
"茨城","08","08","prefecture",NA,NA,NA,NA,NA,NA,NA
"栃木","09","09","prefecture",NA,NA,NA,NA,NA,NA,NA
"群馬","10","10","prefecture",NA,NA,NA,NA,NA,NA,NA
"埼玉","11","11","prefecture",NA,NA,NA,NA,NA,NA,NA
"千葉","12","12","prefecture",NA,NA,NA,NA,NA,NA,NA
"東京","13","13","prefecture",NA,NA,NA,NA,NA,NA,NA
"神奈川","14","14","prefecture",NA,NA,NA,NA,NA,NA,NA
"新潟","15","15","prefecture",NA,NA,NA,NA,NA,NA,NA
"富山","16","16","prefecture",NA,NA,NA,NA,NA,NA,NA
"石川","17","17","prefecture",NA,NA,NA,NA,NA,NA,NA
"福井","18","18","prefecture",NA,NA,NA,NA,NA,NA,NA
"山梨","19","19","prefecture",NA,NA,NA,NA,NA,NA,NA
"長野","20","20","prefecture",NA,NA,NA,NA,NA,NA,NA
"岐阜","21","21","prefecture",NA,NA,NA,NA,NA,NA,NA
"静岡","22","22","prefecture",NA,NA,NA,NA,NA,NA,NA
"愛知","23","23","prefecture",NA,NA,NA,NA,NA,NA,NA
"三重","24","24","prefecture",NA,NA,NA,NA,NA,NA,NA
"滋賀","25","25","prefecture",NA,NA,NA,NA,NA,NA,NA
"京都","26","26","prefecture",NA,NA,NA,NA,NA,NA,NA
"大阪","27","27","prefecture",NA,NA,NA,NA,NA,NA,NA
"兵庫","28","28","prefecture",NA,NA,NA,NA,NA,NA,NA
"奈良","29","29","prefecture",NA,NA,NA,NA,NA,NA,NA
"和歌山","30","30","prefecture",NA,NA,NA,NA,NA,NA,NA
"鳥取","31","31","prefecture",NA,NA,NA,NA,NA,NA,NA
"島根","32","32","prefecture",NA,NA,NA,NA,NA,NA,NA
"岡山","33","33","prefecture",NA,NA,NA,NA,NA,NA,NA
"広島","34","34","prefecture",NA,NA,NA,NA,NA,NA,NA
"山口","35","35","prefecture",NA,NA,NA,NA,NA,NA,NA
"徳島","36","36","prefecture",NA,NA,NA,NA,NA,NA,NA
"香川","37","37","prefecture",NA,NA,NA,NA,NA,NA,NA
"愛媛","38","38","prefecture",NA,NA,NA,NA,NA,NA,NA
"高知","39","39","prefecture",NA,NA,NA,NA,NA,NA,NA
"福岡","40","40","prefecture",NA,NA,NA,NA,NA,NA,NA
"佐賀","41","41","prefecture",NA,NA,NA,NA,NA,NA,NA
"長崎","42","42","prefecture",NA,NA,NA,NA,NA,NA,NA
"熊本","43","43","prefecture",NA,NA,NA,NA,NA,NA,NA
"大分","44","44","prefecture",NA,NA,NA,NA,NA,NA,NA
"宮崎","45","45","prefecture",NA,NA,NA,NA,NA,NA,NA
"鹿児島","46","46","prefecture",NA,NA,NA,NA,NA,NA,NA
"沖縄","47","47","prefecture",NA,NA,NA,NA,NA,NA,NA
"北海道","01","01-01","与党","district","自民","加藤貴弘",43,"自民 加藤貴弘 112618<br>中道 道下大樹 81560<br>国民 臼木秀剛 29134<br>参政 加納千津子 22024<br>共産 森英士 12906","自","北海道1区"
"北海道","01","01-02","与党","district","自民","高橋祐介",45,"自民 高橋祐介 102343<br>中道 松木謙公 72670<br>参政 中田綾子 27591<br>維新 山崎泉 18625<br>共産 平岡大介 17515","自","北海道2区"
